18th Congressional (Vote For 1),,,,,,,,
,,ANNA G. ESHOO,,,RISHI KUMAR,,,
County,Registered Voters,Election Day,Vote By Mail,Total Votes,Election Day,Vote By Mail,Total Votes,Total
0002001,9,17,6,23,14,3,17,40
0002002,2731,82,1508,1590,42,532,574,2164
0002005,1751,37,1040,1077,30,334,364,1441
0002006,81,1,43,44,1,16,17,61
0002009,4365,113,2289,2402,94,931,1025,3427
0002013,3559,79,1967,2046,60,780,840,2886
0002014,3297,111,1559,1670,65,783,848,2518
0002018,142,2,58,60,7,33,40,100
0002025,4073,59,2258,2317,63,883,946,3263
0002043,3095,54,1808,1862,47,668,715,2577
0002046,4236,111,2423,2534,70,788,858,3392
0002057,3967,97,2275,2372,66,769,835,3207
0002068,3755,74,2168,2242,51,798,849,3091
0002098,4126,90,2150,2240,62,937,999,3239
0002108,3462,69,2017,2086,46,709,755,2841
0002125,366,3,207,210,4,77,81,291
0002274,276,3,121,124,2,80,82,206
0002275,1173,21,566,587,31,310,341,928
0002278,1128,30,544,574,31,275,306,880
0002281,6,0,0,0,0,5,5,5
0002282,1413,26,700,726,31,371,402,1128
0002285,2532,63,1228,1291,64,708,772,2063
0002301,3636,51,1906,1957,57,888,945,2902
0002305,4846,103,2603,2706,74,1160,1234,3940
0002309,1231,11,665,676,27,305,332,1008
0002314,2828,49,1432,1481,49,802,851,2332
0002317,2707,69,1387,1456,32,706,738,2194
0002330,4245,57,2227,2284,53,1176,1229,3513
0002338,167,4,69,73,1,49,50,123
0002351,2398,40,1242,1282,33,665,698,1980
0002353,43,2,12,14,4,11,15,29
0002539,258,2,93,95,3,33,36,131
0002542,2081,124,829,953,73,362,435,1388
0002545,2367,68,1421,1489,29,331,360,1849
0002720,1633,30,668,698,24,579,603,1301
0002721,1433,20,587,607,23,450,473,1080
0002723,3283,41,1498,1539,57,978,1035,2574
0002724,2596,58,1115,1173,54,764,818,1991
0002725,2504,54,1077,1131,41,697,738,1869
0002726,1642,36,656,692,40,481,521,1213
0002727,1809,20,827,847,26,557,583,1430
0002729,1933,19,948,967,21,552,573,1540
0002734,2730,45,1186,1231,56,753,809,2040
0002740,3015,51,1299,1350,64,892,956,2306
0002751,25,0,7,7,0,9,9,16
0002761,4,0,0,0,0,4,4,4
0002802,2580,49,1265,1314,43,726,769,2083
0002808,107,1,38,39,1,39,40,79
0002810,24,0,13,13,0,8,8,21
0002811,37,0,16,16,0,13,13,29
0002812,303,6,137,143,8,77,85,228
0002813,255,1,121,122,2,71,73,195
0002816,25,0,12,12,0,8,8,20
0002870,133,2,72,74,3,31,34,108
0002951,323,7,115,122,15,101,116,238
0003402,3488,68,1824,1892,58,768,826,2718
0003406,3417,124,1488,1612,101,801,902,2514
0003407,3434,76,1680,1756,52,836,888,2644
0003408,4039,105,2027,2132,91,983,1074,3206
0003409,4109,97,1950,2047,113,994,1107,3154
0003410,4179,84,1985,2069,86,1155,1241,3310
0003417,3754,76,1956,2032,59,867,926,2958
0003427,3240,88,1545,1633,66,843,909,2542
0003434,2385,32,1349,1381,35,569,604,1985
0003438,4335,66,2257,2323,73,1131,1204,3527
0003445,4000,89,1921,2010,70,1060,1130,3140
0003669,3,0,2,2,0,0,0,2
0003777,1745,25,808,833,24,540,564,1397
0003779,146,0,55,55,3,46,49,104
0003782,421,7,157,164,5,151,156,320
0003783,423,4,182,186,6,124,130,316
0003801,1711,53,746,799,33,519,552,1351
0003802,2793,52,1266,1318,57,767,824,2142
0003803,2482,45,1060,1105,42,702,744,1849
0003804,1112,31,539,570,34,260,294,864
0003810,2257,77,883,960,59,585,644,1604
0003811,2865,53,1257,1310,65,747,812,2122
0003814,2713,69,1054,1123,69,818,887,2010
0003820,2323,46,960,1006,49,710,759,1765
0003821,1089,25,421,446,20,313,333,779
0003825,1427,40,569,609,39,436,475,1084
0003828,1215,18,489,507,27,417,444,951
0003835,1393,20,575,595,16,496,512,1107
0003840,2253,53,964,1017,53,588,641,1658
0003846,117,1,54,55,1,31,32,87
0003861,82,1,29,30,2,27,29,59
0004665,38,0,13,13,1,10,11,24
0004666,7,0,5,5,0,0,0,5
0004671,1844,25,724,749,53,669,722,1471
0004672,1031,18,401,419,17,382,399,818
0004674,1594,35,616,651,38,592,630,1281
0004675,3153,62,1180,1242,104,1166,1270,2512
0004685,1707,22,702,724,31,588,619,1343
0004687,1777,23,708,731,36,676,712,1443
0004688,3379,53,1267,1320,63,1350,1413,2733
0004691,2285,41,862,903,50,841,891,1794
