County,Registered Voters,Ballots Cast,Voter Turnout
0002001,9,81,900.00 %
0002002,2731,2410,88.25 %
0002005,1751,1588,90.69 %
0002006,81,73,90.12 %
0002009,4365,3794,86.92 %
0002013,3559,3164,88.90 %
0002014,3297,2876,87.23 %
0002018,142,118,83.10 %
0002025,4073,3621,88.90 %
0002043,3095,2814,90.92 %
0002046,4236,3751,88.55 %
0002057,3967,3510,88.48 %
0002068,3755,3394,90.39 %
0002098,4126,3618,87.69 %
0002108,3462,3105,89.69 %
0002125,366,334,91.26 %
0002274,276,247,89.49 %
0002275,1173,1086,92.58 %
0002278,1128,1014,89.89 %
0002281,6,5,83.33 %
0002282,1413,1273,90.09 %
0002285,2532,2313,91.35 %
0002301,3636,3261,89.69 %
0002305,4846,4372,90.22 %
0002309,1231,1127,91.55 %
0002314,2828,2591,91.62 %
0002317,2707,2469,91.21 %
0002330,4245,3888,91.59 %
0002338,167,147,88.02 %
0002351,2398,2194,91.49 %
0002353,43,35,81.40 %
0002539,258,147,56.98 %
0002542,2081,1541,74.05 %
0002545,2367,1975,83.44 %
0002720,1633,1501,91.92 %
0002721,1433,1290,90.02 %
0002723,3283,2971,90.50 %
0002724,2596,2330,89.75 %
0002725,2504,2218,88.58 %
0002726,1642,1431,87.15 %
0002727,1809,1667,92.15 %
0002729,1933,1767,91.41 %
0002734,2730,2374,86.96 %
0002740,3015,2659,88.19 %
0002751,25,17,68.00 %
0002761,4,4,100.00 %
0002802,2580,2375,92.05 %
0002808,107,86,80.37 %
0002810,24,21,87.50 %
0002811,37,36,97.30 %
0002812,303,269,88.78 %
0002813,255,237,92.94 %
0002816,25,23,92.00 %
0002825,30,15,50.00 %
0002870,133,121,90.98 %
0002951,323,277,85.76 %
0003001,3173,2723,85.82 %
0003002,3009,2510,83.42 %
0003005,57,54,94.74 %
0003008,38,31,81.58 %
0003010,2810,2323,82.67 %
0003011,2533,2106,83.14 %
0003012,134,118,88.06 %
0003013,3482,2880,82.71 %
0003016,1009,874,86.62 %
0003017,793,635,80.08 %
0003018,423,340,80.38 %
0003019,3485,2982,85.57 %
0003021,317,270,85.17 %
0003023,2854,2472,86.62 %
0003026,2113,1777,84.10 %
0003029,0,0,0.00 %
0003031,1,0,0.00 %
0003032,1642,1475,89.83 %
0003034,3422,3074,89.83 %
0003035,2557,2189,85.61 %
0003039,1739,1556,89.48 %
0003040,0,0,0.00 %
0003042,1879,1515,80.63 %
0003043,3029,2701,89.17 %
0003045,3911,3367,86.09 %
0003047,1215,1130,93.00 %
0003048,3686,3043,82.56 %
0003051,2555,2291,89.67 %
0003053,3027,2692,88.93 %
0003061,101,86,85.15 %
0003079,668,571,85.48 %
0003080,1072,981,91.51 %
0003086,3417,3126,91.48 %
0003087,1575,1230,78.10 %
0003089,0,0,0.00 %
0003095,5,2,40.00 %
0003101,171,145,84.80 %
0003102,613,531,86.62 %
0003103,1401,1237,88.29 %
0003116,925,818,88.43 %
0003117,1009,858,85.03 %
0003120,627,526,83.89 %
0003122,2549,2272,89.13 %
0003156,178,136,76.40 %
0003402,3488,3036,87.04 %
0003406,3417,2840,83.11 %
0003407,3434,2978,86.72 %
0003408,4039,3592,88.93 %
0003409,4109,3552,86.44 %
0003410,4179,3676,87.96 %
0003417,3754,3279,87.35 %
0003427,3240,2832,87.41 %
0003434,2385,2211,92.70 %
0003438,4335,3937,90.82 %
0003445,4000,3531,88.28 %
0003601,1493,1335,89.42 %
0003602,2654,2364,89.07 %
0003603,1443,1285,89.05 %
0003604,3195,2784,87.14 %
0003605,3612,3128,86.60 %
0003606,2846,2556,89.81 %
0003608,3234,2804,86.70 %
0003609,4404,3893,88.40 %
0003611,3101,2752,88.75 %
0003614,1504,1333,88.63 %
0003624,3889,3413,87.76 %
0003635,0,0,0.00 %
0003652,1476,1280,86.72 %
0003655,219,201,91.78 %
0003669,3,2,66.67 %
0003670,160,126,78.75 %
0003777,1745,1613,92.44 %
0003779,146,130,89.04 %
0003782,421,371,88.12 %
0003783,423,382,90.31 %
0003801,1711,1553,90.77 %
0003802,2793,2426,86.86 %
0003803,2482,2136,86.06 %
0003804,1112,1000,89.93 %
0003810,2257,1882,83.39 %
0003811,2865,2524,88.10 %
0003814,2713,2358,86.91 %
0003820,2323,2033,87.52 %
0003821,1089,892,81.91 %
0003825,1427,1266,88.72 %
0003828,1215,1100,90.53 %
0003835,1393,1272,91.31 %
0003840,2253,1997,88.64 %
0003846,117,102,87.18 %
0003861,82,66,80.49 %
0004401,3560,2972,83.48 %
0004402,4133,3356,81.20 %
0004403,334,261,78.14 %
0004405,4385,3648,83.19 %
0004407,3743,3136,83.78 %
0004409,4845,4028,83.14 %
0004411,2581,2276,88.18 %
0004412,4345,3648,83.96 %
0004414,4757,4058,85.31 %
0004417,3982,3321,83.40 %
0004665,38,31,81.58 %
0004666,7,7,100.00 %
0004671,1844,1662,90.13 %
0004672,1031,922,89.43 %
0004674,1594,1450,90.97 %
0004675,3153,2852,90.45 %
0004685,1707,1518,88.93 %
0004687,1777,1624,91.39 %
0004688,3379,3025,89.52 %
0004691,2285,2013,88.10 %
0004696,1356,1208,89.09 %
0004698,1201,1075,89.51 %
0004699,1732,1559,90.01 %
0004702,1089,962,88.34 %
0004715,641,511,79.72 %
0004733,51,47,92.16 %
0004801,1564,1278,81.71 %
0004806,3037,2716,89.43 %
0004811,1845,1623,87.97 %
0004826,1603,1389,86.65 %
0004827,3182,2744,86.24 %
0004833,2168,1859,85.75 %
0004851,1204,1035,85.96 %
0004853,2222,1921,86.45 %
0004858,3005,2552,84.93 %
0004876,3740,3344,89.41 %
0004881,4439,4038,90.97 %
0004941,3088,2520,81.61 %
0004942,2217,1912,86.24 %
0004943,107,92,85.98 %
0004944,1139,798,70.06 %
0004945,1582,1246,78.76 %
0004946,3484,2772,79.56 %
0004949,2620,2358,90.00 %
0004950,2320,2034,87.67 %
0004954,2050,1673,81.61 %
0004956,270,209,77.41 %
0004958,1699,1249,73.51 %
0004965,3097,2701,87.21 %
0004969,2417,1950,80.68 %
0004971,944,831,88.03 %
0004973,2540,2243,88.31 %
0004974,1119,925,82.66 %
0005449,148,141,95.27 %
0005451,17,15,88.24 %
0005454,9,8,88.89 %
0005455,0,0,0.00 %
0005456,4,3,75.00 %
0005458,2,0,0.00 %
0005502,464,409,88.15 %
0005503,400,302,75.50 %
0005505,374,318,85.03 %
0005507,1,0,0.00 %
0005556,1648,1319,80.04 %
0005557,1052,921,87.55 %
0005567,616,512,83.12 %
0005742,18,17,94.44 %
0005743,587,527,89.78 %
0005745,493,451,91.48 %
0005747,988,912,92.31 %
0005748,1927,1742,90.40 %
0005756,103,88,85.44 %
0005758,187,171,91.44 %
0005759,477,435,91.19 %
0005762,298,266,89.26 %
0005763,82,79,96.34 %
0005770,181,165,91.16 %
0005775,373,323,86.60 %
0005785,0,0,0.00 %
0005793,0,0,0.00 %
0005795,3,2,66.67 %
0005804,1276,1134,88.87 %
0005810,415,381,91.81 %
0005811,327,290,88.69 %
0005813,60,54,90.00 %
0005814,263,231,87.83 %
0005854,2,2,100.00 %
0005879,25,23,92.00 %
0005886,22,16,72.73 %
0005888,0,0,0.00 %
0005894,258,227,87.98 %
0005896,4,3,75.00 %
0005901,1,0,0.00 %
0005902,496,457,92.14 %
0005903,679,589,86.75 %
0005906,472,403,85.38 %
0005907,9,8,88.89 %
0005911,2097,1779,84.84 %
0005912,212,160,75.47 %
0005914,1243,1108,89.14 %
0005915,1049,923,87.99 %
0005916,91,81,89.01 %
0005917,296,254,85.81 %
0005919,413,349,84.50 %
0005922,628,530,84.39 %
0005925,94,81,86.17 %
0005927,1,1,100.00 %
0005929,159,135,84.91 %
0005931,160,140,87.50 %
0005936,506,426,84.19 %
0005940,59,53,89.83 %
0005947,575,505,87.83 %
0005949,685,531,77.52 %
0005950,159,137,86.16 %
0005951,6,7,116.67 %
0005955,1347,1154,85.67 %
0005956,1192,1055,88.51 %
0005957,152,125,82.24 %
0005958,943,798,84.62 %
0005959,103,81,78.64 %
0005965,1280,1086,84.84 %
0005966,241,190,78.84 %
0005975,57,36,63.16 %
0005988,2,0,0.00 %
0006023,18,13,72.22 %
0006028,73,60,82.19 %
0006031,35,28,80.00 %
0006035,0,0,0.00 %
0006036,0,0,0.00 %
0006048,24,21,87.50 %
0006401,1,0,0.00 %
0006402,100,93,93.00 %
0006404,2921,2530,86.61 %
