cbg,precinct
[],2021
[],2023
[],2027
[],2029
[],2030
[],2031
[],2032
[],2035
[],2036
[],2037
[],2097
[],2153
[],2303
[],2304
[],2307
[],2324
[],2325
[],2337
[],2347
[],2358
[],2760
[],2781
[],2782
[],2783
[],2827
[],2832
[],3421
[],3425
[],3453
[],3461
[],3463
[],3466
[],3777
[],3778
[],3779
[],3780
[],3794
[],3830
[],3857
[],3858
[],3859
[],3860
[],3861
[],3862
[],3863
[],3864
[],3865
[],3866
[],3867
[],4722
[],4741
[],4744
[],5568
[],5569
[],7094
[],7095
[],7096
[],7097
[],7098
[],7099
[],7104
[],7105
[],7106
[],7107
[],7108
[],7109
[],7110
[],7111
[],8129
[],8132
[],8145
[],8706
[],8707
[],8708
[],8710
[],8711
[],8712
[],8923
[],8924
[],8927
[],8930
[],8931
[],8932
[],8933
[],8934
"[60855104001,60855104002,60855104003]",2306
"[60855104001,60855098011,60855098012]",2305
"[60855104002,60855104003]",2313
"[60855063042,60855063043]",7019
"[60855063042,60855063043,60855063041]",7020
"[60855063043,60855063041]",7021
[60855062021],7039
[60855062021],7040
[60855062022],7062
[60855119111],8863
[60855119111],8864
[60855119111],8867
"[60855119111,60855119113]",5854
"[60855119111,60855119071]",8862
[60855062023],7060
[60855062023],7061
"[60855062023,60855062022]",7063
"[60855062023,60855062022]",7064
[60855119112],5903
[60855119112],5908
[60855119112],6023
"[60855119112,60855119113]",8914
"[60855119112,60855121001]",5927
[60855119113],5902
[60855119113],5905
[60855119113],5910
[60855119113],8898
[60855063051],7045
[60855063053],7041
"[60855063053,60855063054]",7042
"[60855063054,60855063052]",7043
"[60855063054,60855063052,60855063051]",7044
"[60855094031,60855094032]",3426
[60855030031],8646
[60855117071],2001
[60855117071],2124
[60855117071],2126
[60855117071],2127
[60855117071],2128
[60855117071],2131
[60855117071],2352
[60855117071],2539
[60855117071],2540
[60855117071],2541
[60855117071],2808
[60855117071],2810
[60855117071],2811
[60855117071],2813
[60855117071],2814
[60855117071],2816
[60855117071],2826
[60855117071],2872
[60855117071],2873
[60855117071],2874
[60855117071],2875
[60855117071],5747
[60855117071],5750
[60855117071],6665
[60855117071],6666
[60855117071],6667
[60855117071],6668
[60855117071],6672
[60855117071],6673
[60855117071],6675
[60855117071],6680
"[60855117071,60855073021]",6669
[60855062031],7004
[60855062031],7005
[60855030032],8663
[60855030032],8664
"[60855062032,60855062031]",7002
[60855030033],8662
"[60855114001,60855114002,60855114003]",2047
"[60855114001,60855114002,60855114003,60855114001,60855114002,60855114003]",2046
"[60855114001,60855114002,60855114003,60855114004]",2048
"[60855114001,60855114002,60855114003,60855114004]",2049
[60855119121],8900
"[60855119121,60855119113]",8897
"[60855119121,60855119123,60855119113]",8899
[60855062033],7003
"[60855030034,60855030031,60855030032]",8647
"[60855030034,60855030033]",8645
"[60855119122,60855119112]",8912
[60855029011],8604
"[60855029011,60855029012]",8608
[60855119123],8913
[60855114004],2043
"[60855029013,60855029012]",8627
"[60855029013,60855029012]",8628
[60855029014],8603
"[60855029014,60855029013]",8607
[60855103001],2341
"[60855103001,60855103002]",2321
[60855062041],7012
"[60855062041,60855062044]",7013
[60855071001],2767
"[60855094042,60855094031]",3406
[60855103002],2323
"[60855103002,60855117011,60855117012]",2289
[60855071002],2772
"[60855071002,60855071001]",2769
"[60855071002,60855071001,60855072032]",2768
"[60855094043,60855094042]",3459
[60855103003],2349
"[60855119131,60855119133]",8879
"[60855119131,60855119133]",8880
"[60855062043,60855062042]",7015
"[60855062043,60855062042]",7018
"[60855062043,60855062044]",7017
"[60855094044,60855094041]",3479
"[60855094044,60855094041]",3481
[60855119132],8857
[60855119132],8858
[60855062044],7014
"[60855062044,60855062043]",7016
[60855093021],2018
[60855093021],3402
[60855093021],3403
"[60855093021,60855094041]",2013
[60855029021],8104
[60855029021],8610
"[60855029021,60855029022]",8611
[60855119133],8878
[60855029022],8617
[60855029023],8629
[60855029023],8630
"[60855029023,60855029022]",8618
"[60855029023,60855029022]",8619
[60855072031],2724
[60855072031],2726
"[60855072031,60855072032]",2770
[60855072032],2776
[60855072032],3792
"[60855072032,60855072031]",2750
[60855028001],5814
"[60855028001,60855028003]",5815
"[60855028002,60855028001]",8638
[60855028003],5804
"[60855028003,60855028002,60855028001]",8657
[60855119141],8881
"[60855119141,60855119143]",8882
[60855119142],8859
[60855119142],8860
[60855119142],8861
[60855119143],8883
"[60855093032,60855093031,60855093033]",3493
"[60855093032,60855093033,60855093034]",3477
[60855029032],8620
"[60855093033,60855093034,60855093021]",3478
"[60855029033,60855029071]",8642
[60855092011],3407
"[60855092011,60855092012,60855092014]",3414
"[60855092012,60855092014]",3465
"[60855092013,60855092011]",3411
[60855092014],2953
"[60855119151,60855119152]",8834
"[60855119151,60855119152]",8835
"[60855119151,60855119152]",8836
"[60855119151,60855119152,60855119162]",8833
[60855119152],8837
[60855093041],2022
"[60855093041,60855093042]",3494
[60855102001],2314
[60855102001],2316
"[60855116081,60855116082]",2543
"[60855093042,60855093041]",3492
"[60855102002,60855102003]",2326
"[60855102002,60855102003]",2342
"[60855116082,60855116081]",2549
"[60855116082,60855117051,60855117071]",2551
[60855102003],2348
"[60855102003,60855117021]",2803
[60855113011],2056
"[60855113011,60855113012]",2053
"[60855113011,60855113021,60855113022,60855113023]",2142
"[60855072051,60855072052,60855072054,60855072066]",2758
[60855072052],2745
[60855072052],3839
[60855092021],3415
"[60855092021,60855092022]",3476
[60855072053],2730
"[60855072053,60855072051]",2740
[60855072054],2728
"[60855072054,60855072052]",2747
"[60855092023,60855092024]",3409
"[60855092023,60855092024,60855092022]",3475
"[60855119161,60855119151]",8701
"[60855119161,60855119162]",8832
[60855119162],8856
[60855116091],2002
[60855116091],2004
[60855116091],2008
"[60855116091,60855116081]",2024
"[60855059003,60855059002]",8008
[60855070011],2753
[60855070012],2735
[60855070012],2761
[60855070012],3782
[60855070012],3786
[60855070012],3787
[60855070012],3788
[60855070012],3789
[60855070012],3791
[60855070012],5758
[60855070012],5761
[60855070012],5763
[60855070012],5765
[60855070012],5766
[60855070012],5767
[60855070012],5771
[60855070012],5776
[60855070012],5781
[60855070012],5786
"[60855070012,60855070011]",2734
"[60855070012,60855070011]",2763
"[60855070012,60855070011]",2766
"[60855070012,60855072061]",5770
"[60855070012,60855070014]",2755
"[60855070012,60855070014]",2756
"[60855070012,60855070022]",2729
"[60855070012,60855073022,60855073021]",5768
"[60855113021,60855113022,60855113023]",2057
"[60855113021,60855113022,60855113023]",2062
"[60855070013,60855070021]",2777
[60855072061],2725
[60855072061],3784
[60855072061],5760
"[60855072061,60855072053]",5859
"[60855072061,60855070012]",3793
"[60855072061,60855072062]",3781
"[60855072061,60855072062]",3785
"[60855070014,60855070021,60855070022]",2779
[60855072062],3790
"[60855072062,60855070012]",3783
[60855113023],2061
"[60855112001,60855112002]",2068
"[60855112001,60855112002]",2069
"[60855112001,60855112002,60855112003]",2076
"[60855112001,60855112002,60855112003,60855112004]",2065
"[60855027011,60855027012]",8606
"[60855027011,60855027013]",3848
"[60855027011,60855027013]",8605
"[60855027011,60855026041]",8601
"[60855027011,60855026042]",3843
[60855027012],8626
[60855112004],2075
[60855029061],8668
"[60855070021,60855070013]",2774
"[60855070021,60855070022]",2775
"[60855070021,60855070022]",2778
"[60855029062,60855029063]",8688
"[60855029062,60855029063,60855119161]",8700
[60855070022],2731
[60855070022],2752
[60855070022],5782
[60855070022],5788
[60855070022],5789
"[60855070022,60855070012]",5762
"[60855070022,60855069003]",2738
"[60855070022,60855118003]",5787
[60855101001],2351
"[60855101001,60855101003]",2359
"[60855069001,60855069002,60855069003]",8702
"[60855069001,60855069003]",8703
[60855101002],2356
"[60855069002,60855069003]",2746
[60855101003],2355
[60855069003],2721
[60855069003],2722
[60855069003],2727
[60855069003],2732
[60855069003],2733
[60855069003],2737
[60855069003],2739
[60855069003],5783
"[60855069003,60855069002]",2748
"[60855069003,60855068014,60855068041,60855068042]",2743
"[60855069004,60855069003]",2754
"[60855069004,60855069003]",2780
"[60855069004,60855068011,60855068013,60855068014]",2741
"[60855005004,60855005005]",8011
[60855027021],3840
[60855027021],3845
[60855027021],3846
"[60855027021,60855027022]",8637
[60855005005],8012
[60855005005],8013
[60855027023],5811
"[60855027023,60855027022]",5810
"[60855027023,60855027024]",8652
[60855029071],8643
"[60855029071,60855029072]",8644
[60855027024],8650
"[60855027024,60855027022]",8651
[60855029072],8661
[60855027025],8654
[60855027025],8656
"[60855027025,60855068012]",8653
"[60855058001,60855058004,60855058003]",8004
"[60855058003,60855058001,60855058002]",8010
"[60855058003,60855058002]",8009
"[60855058004,60855058003]",8003
"[60855029081,60855029083]",8639
"[60855029081,60855029083]",8640
"[60855029081,60855029083,60855029082]",8641
[60855111001],2078
[60855111001],2081
